qid,leader,ccode,iso3,country,start_year,end_year,term_limits_absent,president_for_life,family_in_govt,political_killings,military_executive,judicial_purges,const_disregard,no_leg_constraint,places_named,grandiose_titles,monuments,birthday_holiday,hagiography,cult_of_personality,currency_portrait,oath_to_person
Q58132,Maduro,101,VEN,Venezuela,2012,2015,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0
Q718256,Burnham,110,GUY,Guyana,1966,1985,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0
Q887418,Hoyte,110,GUY,Guyana,1985,1992,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
Q724156,Jagan Cheddi,110,GUY,Guyana,1992,1997,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Q57697,Samuel Hinds,110,GUY,Guyana,1997,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q239709,Janet Jagan,110,GUY,Guyana,1997,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q212760,Bharrat Jagdeo,110,GUY,Guyana,1999,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q57422,Ramotar,110,GUY,Guyana,2011,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q333129,Ferrier,115,SUR,Suriname,1975,1980,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q434552,Mancheno,130,ECU,Ecuador,1947,1947,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Q887063,Plaza Lasso,130,ECU,Ecuador,1948,1952,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Q718247,Arosemena Monroy,130,ECU,Ecuador,1961,1963,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Q434746,Arosemena Gomez,130,ECU,Ecuador,1966,1968,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Q728490,Rodriguez Lara,130,ECU,Ecuador,1972,1976,0,0,0,1,1,0,1,,0,0,0,0,0,0,0,0
Q878508,Hurtado Larrea,130,ECU,Ecuador,1981,1984,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Q743354,Borja Cevallos,130,ECU,Ecuador,1988,1992,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Q291543,Rosalia Arteaga Serrano,130,ECU,Ecuador,1997,1997,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Q471248,Mahuad,130,ECU,Ecuador,1998,2000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Q471291,Gustavo Noboa,130,ECU,Ecuador,2000,2003,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Q336234,Lucio Gutierrez,130,ECU,Ecuador,2003,2005,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Q19581,Rafael Correa,130,ECU,Ecuador,2007,2015,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0
Q116718,Ugarteche,135,PER,Peru,1956,1962,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Q311431,Velasco Alvarado,135,PER,Peru,1968,1975,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0
Q207426,Alejandro Toledo,135,PER,Peru,2001,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q57254,Ollanta Humala,135,PER,Peru,2011,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q296679,Dutra,140,BRA,Brazil,1946,1951,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
Q269572,Coimbra da Luz,140,BRA,Brazil,1955,1955,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Q155824,Kubitschek,140,BRA,Brazil,1956,1961,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
Q192361,Ranieri Mazzilli,140,BRA,Brazil,1961,1961,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Q192361,Ranieri Mazzilli,140,BRA,Brazil,1964,1964,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Q294430,Castello Branco,140,BRA,Brazil,1964,1967,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0
Q294241,Geisel,140,BRA,Brazil,1974,1979,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
Q236503,Mello,140,BRA,Brazil,1990,1992,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Q485946,"Franco, Itamar",140,BRA,Brazil,1992,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q230578,Cardoso,140,BRA,Brazil,1995,2003,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Q40722,Rousseff,140,BRA,Brazil,2011,2015,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Q3306306,Urriolagoitia,145,BOL,Bolivia,1949,1951,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
Q886540,Siles Salinas,145,BOL,Bolivia,1969,1969,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0
Q269039,Banzer Suarez,145,BOL,Bolivia,1971,1978,0,0,0,1,1,1,1,,0,0,1,0,0,0,0,0
Q2566177,Pereda Asbun,145,BOL,Bolivia,1978,1978,0,0,0,1,1,1,1,,0,0,1,0,0,0,0,0
Q886490,Natusch Busch,145,BOL,Bolivia,1979,1979,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
Q466098,Lidia Gueiler Tejada,145,BOL,Bolivia,1979,1980,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
Q555207,Paz Zamora,145,BOL,Bolivia,1989,1993,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Q379645,Gonzalo Sanchez de Lozada,145,BOL,Bolivia,1993,1997,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Q269039,Banzer Suarez,145,BOL,Bolivia,1997,2001,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Q468805,Jorge Quiroga Ramirez,145,BOL,Bolivia,2001,2002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Q379645,Gonzalo Sanchez de Lozada,145,BOL,Bolivia,2002,2003,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Q312668,Carlos Mesa,145,BOL,Bolivia,2003,2005,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Q628530,Frutos,150,PRY,Paraguay,1948,1948,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
Q888255,Molas Lopez,150,PRY,Paraguay,1949,1949,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
Q152534,Stroessner,150,PRY,Paraguay,1954,1989,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0
Q440837,Rodriguez Pedotti,150,PRY,Paraguay,1989,1993,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Q438594,Gonzalez Macchi,150,PRY,Paraguay,1999,2003,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Q222652,Nicanor Duarte Frutos,150,PRY,Paraguay,2003,2008,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Q151879,Fernando Lugo,150,PRY,Paraguay,2008,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q57496,Federico Franco,150,PRY,Paraguay,2012,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q5901842,Horacio Cartes,150,PRY,Paraguay,2013,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q576,Alessandri Rodriguez,155,CHL,Chile,1958,1964,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Q475,Frei Montalva,155,CHL,Chile,1964,1970,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Q440,Allende,155,CHL,Chile,1970,1973,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
Q368,Pinochet,155,CHL,Chile,1973,1990,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0
Q335,Aylwin,155,CHL,Chile,1990,1994,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Q331,Ricardo Lagos Escobar,155,CHL,Chile,2000,2006,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Q320,Michelle Bachelet,155,CHL,Chile,2006,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q306,Sebastian Piñera,155,CHL,Chile,2010,2014,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Q320,Michelle Bachelet,155,CHL,Chile,2014,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q365431,Lonardi,160,ARG,Argentina,1955,1955,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
Q188974,Aramburu,160,ARG,Argentina,1955,1958,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
Q346658,Frondizi,160,ARG,Argentina,1958,1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q270368,Arturo Illia,160,ARG,Argentina,1963,1966,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Q380980,Levingston,160,ARG,Argentina,1970,1971,0,0,0,1,1,0,1,,0,0,0,0,0,0,0,0
Q349261,Lastiri,160,ARG,Argentina,1973,1973,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Q313996,Viola,160,ARG,Argentina,1981,1981,0,0,0,1,1,0,1,,0,0,0,0,0,0,0,0
Q124993,Galtieri,160,ARG,Argentina,1981,1982,0,0,0,1,1,0,1,,0,0,1,0,0,0,0,0
Q298430,Bignone,160,ARG,Argentina,1982,1983,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Q185107,Menem,160,ARG,Argentina,1989,1999,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Q357257,Ramon Puerta,160,ARG,Argentina,2001,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q312358,Adolfo Rodriguez Saa,160,ARG,Argentina,2001,2002,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Q294578,Eduardo Duhalde,160,ARG,Argentina,2002,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q170899,Nestor Kirchner,160,ARG,Argentina,2003,2007,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Q40649,Fernandez de Kirchner,160,ARG,Argentina,2007,2015,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Q561837,Mauricio Macri,160,ARG,Argentina,2015,2015,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Q879007,Berreta,165,URY,Uruguay,1947,1947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q728925,Batlle Berres,165,URY,Uruguay,1947,1951,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Q728925,Batlle Berres,165,URY,Uruguay,1955,1956,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Q2518653,Nardone,165,URY,Uruguay,1960,1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q367083,Pacheco Areco,165,URY,Uruguay,1967,1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q15147,Jorge Batlle,165,URY,Uruguay,2000,2005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Q9099,Tabare Vazquez,165,URY,Uruguay,2005,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q9094,Jose Mujica,165,URY,Uruguay,2010,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q9099,Tabare Vasquez,165,URY,Uruguay,2015,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q129006,Atlee,200,GBR,United Kingdom,1945,1951,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Q8016,Churchill,200,GBR,United Kingdom,1951,1955,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0
Q128995,Eden,200,GBR,United Kingdom,1955,1957,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0
Q128985,MacMillan,200,GBR,United Kingdom,1957,1963,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
Q128956,Wilson,200,GBR,United Kingdom,1964,1970,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
