qid,leader,ccode,start_year,end_year,monuments_count,monuments_binary,monuments_details,holiday_count,holiday_binary,holiday_details,hagiography_count,hagiography_binary,hagiography_details,media_named_count,media_named_binary,media_named_details
Q313996,Viola,160,1981,1981,0,0,,0,0,,0,0,,0,0,
Q124993,Galtieri,160,1981,1982,0,0,,0,0,,0,0,,0,0,
Q298430,Bignone,160,1982,1983,0,0,,0,0,,0,0,,0,0,
Q185107,Menem,160,1989,1999,0,0,,0,0,,0,0,,0,0,
Q357257,Ramon Puerta,160,2001,2001,0,0,,0,0,,0,0,,0,0,
Q312358,Adolfo Rodriguez Saa,160,2001,2002,0,0,,0,0,,0,0,,0,0,
Q294578,Eduardo Duhalde,160,2002,2003,0,0,,0,0,,0,0,,0,0,
Q170899,Nestor Kirchner,160,2003,2007,0,0,,0,0,,0,0,,0,0,
Q40649,Fernandez de Kirchner,160,2007,2015,0,0,,0,0,,1,0,Sinceramente,0,0,
Q561837,Mauricio Macri,160,2015,2015,0,0,,0,0,,3,1,Q23468666; Primer Tiempo; Q61763034,0,0,
Q879007,Berreta,165,1947,1947,0,0,,0,0,,0,0,,0,0,
Q728925,Batlle Berres,165,1947,1951,1,1,Monumento Luis Batlle Berres,0,0,,0,0,,0,0,
Q728925,Batlle Berres,165,1955,1956,1,1,Monumento Luis Batlle Berres,0,0,,0,0,,0,0,
Q2518653,Nardone,165,1960,1961,0,0,,0,0,,0,0,,0,0,
Q367083,Pacheco Areco,165,1967,1972,0,0,,0,0,,0,0,,0,0,
Q15147,Jorge Batlle,165,2000,2005,0,0,,0,0,,0,0,,0,0,
Q9099,Tabare Vazquez,165,2005,2010,0,0,,0,0,,0,0,,0,0,
Q9094,Jose Mujica,165,2010,2015,0,0,,0,0,,0,0,,0,0,
Q9099,Tabare Vasquez,165,2015,2015,0,0,,0,0,,0,0,,0,0,
Q129006,Atlee,200,1945,1951,0,0,,0,0,,0,0,,0,0,
Q8016,Churchill,200,1951,1955,2,1,Winston Churchill; Q136430728,0,0,,25,1,Winston Churchill to Franklin D. Roosevelt; The Unknown War: The Eastern Front; Never was so much owed by so many to so few; The Second World War; The Story of the Malakand Field Force; The River War; The Second World War: The Gathering Storm; Be Ye Men of Valour; This was their finest hour; A History of the English-Speaking Peoples; A Traveller in War-Time; While England Slept; Great Contemporaries; Shall We All Commit Suicide?; Ian Hamilton's March; Are There Men on the Moon?; My Early Life; W,0,0,
Q128995,Eden,200,1955,1957,0,0,,0,0,,0,0,,0,0,
Q128985,MacMillan,200,1957,1963,0,0,,0,0,,1,0,The Middle Way,0,0,
Q128956,Wilson,200,1964,1970,0,0,,0,0,,0,0,,0,0,
Q128967,Heath,200,1970,1974,0,0,,0,0,,0,0,,0,0,
Q128956,Wilson,200,1974,1976,0,0,,0,0,,0,0,,0,0,
Q9576,Callaghan,200,1976,1979,0,0,,0,0,,0,0,,0,0,
Q7416,Thatcher,200,1979,1990,0,0,,0,0,,5,1,The Path to Power; Peace dividend; Statecraft: Strategies for a Changing World; The Downing Street Years; We have become a grandmother,0,0,
Q9559,Major,200,1990,1997,0,0,,0,0,,3,1,The Autobiography; My Old Man: A Personal History of Music Hall; More Than a Game: The Story of Cricket's Early Years,0,0,
Q9545,Blair,200,1997,2007,0,0,,0,0,,1,0,A Journey,0,0,
Q381690,Costello,205,1948,1951,0,0,,0,0,,1,0,"Garda Síochána Pay Order, 1954",0,0,
Q381690,Costello,205,1954,1957,0,0,,0,0,,1,0,"Garda Síochána Pay Order, 1954",0,0,
Q381681,Lynch,205,1966,1973,0,0,,0,0,,237,1,"Wholesale Tax (Exempted Imports) (No. 1) Order, 1966; Exchange Control (No. 2) Regulations, 1966; Conditions of Employment (Peat Moss Flower Pots Industry) (Exclusion) Regulations, 1960; Agricultural Produce (Cereals) Act, 1961 (Commencement) Order, 1962; Companies Acts, 1908 To 1959 (Forms) Order, 1960; Conditions of Employment (Carpet Weaving Industry) (Exclusion) Regulations, 1961; Oil Heaters Regulations, 1963; Milk (Retail Price) (Dublin Sale District) (No. 2) Order, 1963; Exchange Control ",0,0,
Q381681,Lynch,205,1977,1979,0,0,,0,0,,237,1,"Wholesale Tax (Exempted Imports) (No. 1) Order, 1966; Exchange Control (No. 2) Regulations, 1966; Conditions of Employment (Peat Moss Flower Pots Industry) (Exclusion) Regulations, 1960; Agricultural Produce (Cereals) Act, 1961 (Commencement) Order, 1962; Companies Acts, 1908 To 1959 (Forms) Order, 1960; Conditions of Employment (Carpet Weaving Industry) (Exclusion) Regulations, 1961; Oil Heaters Regulations, 1963; Milk (Retail Price) (Dublin Sale District) (No. 2) Order, 1963; Exchange Control ",0,0,
Q333735,Haughey,205,1979,1981,0,0,,0,0,,185,1,"Greyhound Race Track (Totalisator) Regulations, 1969; Garda Síochána (Representative Bodies) Regulations, 1927 (Amendment) Regulations, 1962; Superannuation (Designation of Approved Organisations) Regulations, 1967; Returning Officers' (Borough and County Constituencies) Bye-Election Charges Order, 1966; Summer Time Order, 1962; Exported Live Stock (Insurance) Act, 1940 (Appointed Percentage Under Section 16) Order, 1965; National Archives Act, 1986 (Commencement) Order, 1988; Death Duties (Paym",0,0,
Q1425313,Fitzgerald,205,1981,1982,0,0,,0,0,,89,1,"Imposition of Duties (No. 255) (Hydrocarbon Oils) Order, 1981; Social Welfare (Disability Benefit and Unemployment Benefit) (Amendment) (No. 2) Regulations, 1981; Ombudsman Act, 1980 (First Schedule) (Amendment) Order, 1985; State Guarantees Act, 1954 (Amendment of Schedule) Order, 1981; Imposition of Duties (No. 266) (Tobacco Products) Order, 1983; Tourism, (Transfer of Departmental Administration and Ministerial Functions) Order, 1986; Control of Imports (Quota No. 52, Twenty-Second Period) (M",0,0,
Q333735,Haughey,205,1982,1982,0,0,,0,0,,185,1,"Greyhound Race Track (Totalisator) Regulations, 1969; Garda Síochána (Representative Bodies) Regulations, 1927 (Amendment) Regulations, 1962; Superannuation (Designation of Approved Organisations) Regulations, 1967; Returning Officers' (Borough and County Constituencies) Bye-Election Charges Order, 1966; Summer Time Order, 1962; Exported Live Stock (Insurance) Act, 1940 (Appointed Percentage Under Section 16) Order, 1965; National Archives Act, 1986 (Commencement) Order, 1988; Death Duties (Paym",0,0,
Q1425313,Fitzgerald,205,1982,1987,0,0,,0,0,,89,1,"Imposition of Duties (No. 255) (Hydrocarbon Oils) Order, 1981; Social Welfare (Disability Benefit and Unemployment Benefit) (Amendment) (No. 2) Regulations, 1981; Ombudsman Act, 1980 (First Schedule) (Amendment) Order, 1985; State Guarantees Act, 1954 (Amendment of Schedule) Order, 1981; Imposition of Duties (No. 266) (Tobacco Products) Order, 1983; Tourism, (Transfer of Departmental Administration and Ministerial Functions) Order, 1986; Control of Imports (Quota No. 52, Twenty-Second Period) (M",0,0,
Q333735,Haughey,205,1987,1992,0,0,,0,0,,185,1,"Greyhound Race Track (Totalisator) Regulations, 1969; Garda Síochána (Representative Bodies) Regulations, 1927 (Amendment) Regulations, 1962; Superannuation (Designation of Approved Organisations) Regulations, 1967; Returning Officers' (Borough and County Constituencies) Bye-Election Charges Order, 1966; Summer Time Order, 1962; Exported Live Stock (Insurance) Act, 1940 (Appointed Percentage Under Section 16) Order, 1965; National Archives Act, 1986 (Commencement) Order, 1988; Death Duties (Paym",0,0,
Q735519,Beel,210,1946,1948,0,0,,0,0,,0,0,,0,0,
Q12769,Drees,210,1948,1958,0,0,,0,0,,0,0,,0,0,
Q735519,Beel,210,1958,1959,0,0,,0,0,,0,0,,0,0,
Q781813,de Quay,210,1959,1963,0,0,,0,0,,0,0,,0,0,
Q719701,Marijnen,210,1963,1965,0,0,,0,0,,0,0,,0,0,
Q736026,Cals,210,1965,1966,0,0,,0,0,,0,0,,0,0,
Q380970,Zijlstra,210,1966,1967,0,0,,0,0,,0,0,,0,0,
Q345481,De Jong,210,1967,1971,0,0,,0,0,,0,0,,0,0,
Q471204,Biesheuvel,210,1971,1973,0,0,,0,0,,0,0,,0,0,
Q318320,den Uyl,210,1973,1977,0,0,,0,0,,0,0,,0,0,
Q318334,van Agt,210,1977,1982,0,0,,0,0,,0,0,,0,0,
Q159840,Lubbers,210,1982,1994,0,0,,0,0,,0,0,,0,0,
Q221411,Kok,210,1994,2002,0,0,,0,0,,0,0,,0,0,
Q133386,Jan Peter Balkenende,210,2002,2010,0,0,,0,0,,0,0,,0,0,
Q57792,M. Rutte,210,2010,2015,0,0,,0,0,,0,0,,0,0,
Q313809,Martens,211,1979,1981,0,0,,0,0,,0,0,,0,0,
Q349477,"Eyskens, M.",211,1981,1981,0,0,,0,0,,0,0,,0,0,
Q313809,Martens,211,1981,1992,0,0,,0,0,,0,0,,0,0,
