qid,leader,ccode,start_year,end_year,v2clkill,v2x_ex_military,v2jupurge,v2psbars,v2csreprss,v2exrescon,v2xlg_legcon,v2x_regime,political_killings,military_executive,judicial_purges,party_barriers,civil_repression,const_disregard,no_leg_constraint,regime_type
Q58132,Maduro,101,2012,2015,0.7005,0.28099999999999997,-1.10725,0.5022500000000001,-0.40425,-1.85325,0.053500000000000006,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1
Q718256,Burnham,110,1966,1985,0.12400000000000004,0.06875,0.9646000000000001,0.4275499999999998,0.15190000000000006,-0.5078499999999999,0.10595000000000002,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
Q887418,Hoyte,110,1985,1992,0.8652499999999999,0.25,0.87,0.52475,0.618875,-0.462,0.145125,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
Q724156,Jagan Cheddi,110,1992,1997,1.011,0.25,0.87,1.9281666666666668,0.5181666666666667,0.09166666666666667,0.313,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Q57697,Samuel Hinds,110,1997,1997,1.011,0.25,0.87,2.016,0.391,0.475,0.313,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
Q239709,Janet Jagan,110,1997,1999,1.011,0.25,0.87,2.016,0.4896666666666667,0.4749999999999999,0.313,1.6666666666666667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
Q212760,Bharrat Jagdeo,110,1999,2011,0.2801538461538462,0.19238461538461535,1.2502307692307693,2.015999999999999,0.877153846153846,0.47499999999999987,0.3443076923076923,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
Q57422,Ramotar,110,2011,2015,0.529,0.0988,1.9891999999999999,1.9578,1.5502,0.5202,0.3792,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Q333129,Ferrier,115,1975,1980,1.1551666666666665,0.22916666666666666,1.0208333333333333,1.8423333333333334,0.919,0.9703333333333334,0.7833333333333332,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Q434552,Mancheno,130,1947,1947,0.547,0.5,0.047,1.233,1.351,-1.508,0.34,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
Q887063,Plaza Lasso,130,1948,1952,0.7894,0.5,0.047,1.233,1.351,-0.413,0.45200000000000007,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
Q718247,Arosemena Monroy,130,1961,1963,0.523,0.6666666666666666,0.04700000000000001,0.3033333333333334,0.14100000000000001,-1.369,0.452,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
Q434746,Arosemena Gomez,130,1966,1968,0.147,0.8333333333333334,0.04700000000000001,0.11366666666666665,-0.10033333333333333,-1.611,0.463,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
Q728490,Rodriguez Lara,130,1972,1976,-0.08780000000000002,1.0,0.047,-1.599,-0.23020000000000002,-2.6338,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,0
Q878508,Hurtado Larrea,130,1981,1984,0.50325,0.47925,0.047,2.575,1.577,0.54,0.638,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
Q743354,Borja Cevallos,130,1988,1992,1.3484,0.5,0.047,2.575,1.332,0.5042,0.638,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2
Q291543,Rosalia Arteaga Serrano,130,1997,1997,1.535,0.5,0.047,2.575,1.351,0.071,0.65,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2
Q471248,Mahuad,130,1998,2000,1.535,0.5,0.04700000000000001,2.575,1.351,0.0,0.65,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2
Q471291,Gustavo Noboa,130,2000,2003,1.535,0.5,0.047,2.575,1.351,0.015749999999999993,0.65,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2
Q336234,Lucio Gutierrez,130,2003,2005,1.535,0.5,-0.5970000000000001,2.575,1.351,-0.27299999999999996,0.65,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2
Q19581,Rafael Correa,130,2007,2015,1.657111111111111,0.3858888888888889,-1.1566666666666665,1.0157777777777777,-0.2321111111111111,-0.3582222222222222,0.2371111111111111,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2
Q116718,Ugarteche,135,1956,1962,1.969142857142857,0.3332857142857143,-0.03299999999999997,0.6201428571428572,1.163857142857143,-0.4007142857142857,0.519,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
Q311431,Velasco Alvarado,135,1968,1975,1.303125,0.875,-2.0575,-0.8218749999999999,0.279,-2.61325,0.452,0.125,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0
Q207426,Alejandro Toledo,135,2001,2006,2.204,0.06999999999999999,0.578,1.9616666666666667,2.1218333333333335,1.2413333333333334,0.8241666666666667,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
Q57254,Ollanta Humala,135,2011,2015,2.2362,0.04820000000000001,0.7657999999999999,1.9274000000000004,1.9976000000000003,1.2814,0.869,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Q296679,Dutra,140,1946,1951,-0.453,0.39599999999999996,2.045,0.8041666666666667,0.347,0.27099999999999996,0.6266666666666668,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Q269572,Coimbra da Luz,140,1955,1955,-0.176,0.438,2.045,0.662,0.347,0.271,0.627,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Q155824,Kubitschek,140,1956,1961,-0.17599999999999996,0.438,2.045,0.7578333333333335,0.347,0.27099999999999996,0.6161666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Q192361,Ranieri Mazzilli,140,1961,1961,-0.176,0.438,2.045,0.777,0.347,0.271,0.627,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Q192361,Ranieri Mazzilli,140,1964,1964,-1.678,0.875,1.92,-0.317,-1.392,-0.674,0.417,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1
Q294430,Castello Branco,140,1964,1967,-2.8105,0.8435000000000001,0.8864999999999998,-0.609,-1.67325,-1.295,0.18375,0.25,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0
Q294241,Geisel,140,1974,1979,-2.59,0.8120000000000002,1.906,-0.8310000000000001,-1.3719999999999999,-1.502,0.13383333333333333,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0
Q236503,Mello,140,1990,1992,0.609,0.131,2.279,2.907,3.2290000000000005,0.8489999999999999,0.8569999999999999,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2
