qid,leader,ccode,start_year,end_year,currency_portrait
Q5054729,Cavaco Silva,235,2006,2015,1
Q2492,Adenauer,260,1949,1963,0
Q2496,Erhard,260,1963,1966,0
Q2512,Kiesinger,260,1966,1969,0
Q2514,Brandt,260,1969,1974,0
Q2516,Schmidt,260,1974,1982,0
Q2518,Kohl,260,1982,1998,0
Q65917,Wilhelm Pieck,265,1946,1950,0
Q2628,Ulbricht,265,1950,1971,0
Q2607,Honecker,265,1971,1989,0
Q2602,Krenz,265,1989,1989,0
Q545740,Ochab,290,1956,1956,0
Q312185,Gierek,290,1970,1980,0
Q55834,Jaruzelski,290,1981,1990,0
Q11726,Renner,305,1945,1945,0
Q29008,Gorbach,305,1961,1964,0
Q241131,Klaus,305,1964,1970,0
Q44517,Kreisky,305,1970,1983,0
Q84190,Sinowatz,305,1983,1986,0
Q158123,Vranitzky,305,1986,1997,0
Q78538,Klima,305,1997,2000,0
Q177917,Nagy,310,1956,1956,1
Q155684,Horn,310,1994,1998,0
Q57641,Orban,310,1998,2002,0
Q57641,Orban,310,2010,2015,0
Q296054,Gottwald,315,1948,1953,0
Q241131,Klaus,316,1993,1997,0
Q32777,Spidla,316,2002,2004,0
Q348896,Stanislav Gross,316,2004,2005,0
Q471315,Parri,325,1945,1945,0
Q153832,de Gasperi,325,1945,1953,0
Q320963,Pella,325,1953,1954,0
Q273228,Fanfani,325,1954,1954,0
Q367342,Scelba,325,1954,1955,0
Q1240,Segni,325,1955,1957,0
Q366104,Zoli,325,1957,1958,0
Q273228,Fanfani,325,1958,1959,0
Q1240,Segni,325,1959,1960,0
Q314004,Tambroni,325,1960,1960,0
Q273228,Fanfani,325,1960,1963,0
Q1235,Leone,325,1963,1963,1
Q171834,Moro,325,1963,1968,0
Q1235,Leone,325,1968,1968,1
Q316288,Rumor,325,1968,1970,0
Q312058,Colombo,325,1970,1972,0
Q50005,Andreotti,325,1972,1973,0
Q316288,Rumor,325,1973,1974,0
Q171834,Moro,325,1974,1976,0
Q50005,Andreotti,325,1976,1979,0
Q1230,Cossiga,325,1979,1980,0
Q434786,Forlani,325,1980,1981,0
Q332709,Spadolini,325,1981,1982,0
Q273228,Fanfani,325,1982,1983,0
Q192818,Craxi,325,1983,1987,0
Q273228,Fanfani,325,1987,1987,0
Q336259,Goria,325,1987,1988,0
Q316226,Mita,325,1988,1989,1
Q50005,Andreotti,325,1989,1992,0
Q202209,Amato,325,1992,1993,0
Q1224,Ciampi,325,1993,1994,0
Q11860,Berlusconi,325,1994,1995,0
Q208100,Dini,325,1995,1996,1
Q38484,Prodi,325,1996,1998,0
Q202209,Amato,325,2000,2001,0
Q11860,Berlusconi,325,2001,2006,0
Q983140,Olivier,338,1962,1971,0
Q167307,Mintoff,338,1971,1984,0
Q152511,Adami,338,1987,1996,0
Q152511,Adami,338,1998,2004,0
Q156833,Alia,339,1985,1992,1
Q57625,Berisha,339,1992,1997,0
Q311596,Fatos Nano,339,1997,1998,0
Q381214,Majko,339,1998,1999,0
Q381214,Majko,339,2002,2002,0
Q311596,Fatos Nano,339,2002,2005,0
Q1990673,Nikola Kljusev,343,1991,1992,0
Q162983,Radmila Sekerinska,343,2004,2004,0
Q162983,Radmila Sekerinska,343,2004,2004,0
Q57766,Gruevski,343,2006,2014,1
Q3176299,Kolinda Grabar-Kitarovic,344,2015,2015,0
Q9161,Tito,345,1945,1980,0
Q470687,Kolisevski,345,1980,1980,0
Q431413,Svetozar Marovic,345,2003,2006,0
Q355737,Jelavic,346,1999,2000,0
Q470649,Borislav Paravac,346,2003,2003,0
Q559756,Dragan Covic,346,2003,2004,0
Q361173,Sulejman Tihic,346,2004,2004,0
Q470649,Borislav Paravac,346,2004,2005,0
Q361173,Sulejman Tihic,346,2006,2006,0
Q297825,Zeljko Komsic,346,2007,2008,0
Q57381,Silajdzic,346,2008,2008,0
Q297825,Zeljko Komsic,346,2009,2010,0
Q57381,Silajdzic,346,2010,2010,0
Q297825,Zeljko Komsic,346,2011,2014,0
Q312355,Bakir Izetbegovic,346,2014,2014,0
Q559756,Dragan Covic,346,2015,2015,0
Q434177,Bajuk,349,2000,2000,0
Q464922,Anton Rop,349,2002,2004,1
Q206471,Borut Pahor,349,2008,2012,0
Q57627,Janez Jansa,349,2012,2013,0
Q3739767,Bratusek,349,2013,2014,0
Q449445,Plastiras,350,1945,1945,0
Q1258656,Voulgaris,350,1945,1945,0
Q31280,Damaskinos,350,1945,1945,0
Q1392087,Poulitsas,350,1946,1946,0
Q589978,Diomidis,350,1949,1950,0
Q708300,Theotokis,350,1950,1950,0
Q449445,Plastiras,350,1950,1950,0
Q449445,Plastiras,350,1951,1952,0
Q707209,Kiousopoulos,350,1952,1952,0
Q312046,Papagos,350,1952,1955,0
Q156806,Karamanlis,350,1955,1958,0
Q728887,Georgakopoulos,350,1958,1958,0
Q156806,Karamanlis,350,1958,1961,0
Q156806,Karamanlis,350,1961,1963,0
Q1371543,Pipinelis,350,1963,1963,0
Q181606,Mavromichalis,350,1963,1963,0
Q1371474,Tsirimokos,350,1965,1965,0
Q156505,Papadopoulos,350,1967,1973,0
Q156806,Karamanlis,350,1974,1980,0
Q252657,Georgios Rallis,350,1980,1981,0
Q219256,A. Papandreou,350,1981,1989,0
Q316235,Tzannetakis,350,1989,1989,0
Q318009,Zolotas,350,1989,1990,0
Q552751,Mitsotakis,350,1990,1993,0
Q219256,A. Papandreou,350,1993,1995,0
Q156806,Konstantinos Karamanlis,350,2004,2009,0
Q311207,Georgios Papandreou,350,2009,2011,0
Q318492,Panagiotis Pikrammenos,350,2012,2012,0
