leader,ccode,start_year,end_year,idacr,qid,source,wiki_title
Mao Tse-Tung,710,1949,1976,CHN,Q5816,direct,Mao Zedong
Hua Guofeng,710,1976,1980,CHN,Q41570,direct,Hua Guofeng
Deng Xiaoping,710,1980,1997,CHN,Q16977,direct,Deng Xiaoping
Jiang Zemin,710,1997,2003,CHN,Q16597,direct,Jiang Zemin
Hu Jintao,710,2003,2012,CHN,Q15029,direct,Hu Jintao
Xi Jinping,710,2012,2015,CHN,Q10874521,fuzzy,
Tsedenbal,712,1952,1984,MON,Q69612964,fuzzy,
Batmonh,712,1984,1990,MON,Q558706,fuzzy,
Ochirbat,712,1990,1997,MON,Q7076333,fuzzy,
Bagabandi,712,1997,2005,MON,Q334679,direct,Natsagiin Bagabandi
Enkhbayar,712,2005,2009,MON,Q54820,fuzzy,
Elbegdorj,712,2009,2015,MON,Q57421,fuzzy,
Chen Shui-bian,713,2000,2008,TAW,Q22368,fuzzy,
Ma Ying-jeou,713,2008,2015,TAW,Q19216,fuzzy,
Kim Jong Un,731,2011,2015,PRK,Q56226,fuzzy,
Rhee,732,1948,1960,ROK,Q171684,direct,Syngman Rhee
Ho Chong,732,1960,1960,ROK,Q469415,fuzzy,
Chang Do Yong,732,1961,1961,ROK,Q483128,fuzzy,
Park Choong Hoon,732,1980,1980,ROK,Q6784197,fuzzy,
Roh Tae Woo,732,1988,1993,ROK,Q242651,fuzzy,
Kim Young Sam,732,1993,1998,ROK,Q165210,fuzzy,
Lee Myung Bak,732,2008,2013,ROK,Q14342,fuzzy,
Park Geun-hye,732,2013,2015,ROK,Q138048,fuzzy,
Matthew Bunker Ridgway,740,1951,1952,JPN,Q494930,direct,Matthew Ridgway
"Yoshida, Shigeru",740,1952,1954,JPN,Q301804,direct,Shigeru Yoshida
Ishibashi,740,1956,1957,JPN,Q351656,direct,Tanzan Ishibashi
Kishi,740,1957,1960,JPN,Q315572,direct,Nobusuke Kishi
Ikeda,740,1960,1964,JPN,Q299142,direct,Hayato Ikeda
Tanaka,740,1972,1974,JPN,Q297644,direct,Kakuei Tanaka
Miki,740,1974,1976,JPN,Q317675,direct,Takeo Miki
Fukuda,740,1976,1978,JPN,Q315584,direct,Takeo Fukuda
Masayoshi Ito,740,1980,1980,JPN,Q744989,direct,Masayoshi Ito
Suzuki,740,1980,1982,JPN,Q315551,redirect,Zenko Suzuki
Nakasone,740,1982,1987,JPN,Q250828,direct,Yasuhiro Nakasone
Takeshita,740,1987,1989,JPN,Q315561,direct,Noboru Takeshita
Kaifu,740,1989,1991,JPN,Q315579,direct,Toshiki Kaifu
Miyazawa,740,1991,1993,JPN,Q315565,direct,Kiichi Miyazawa
Hosokawa,740,1993,1994,JPN,Q315555,direct,Morihiro Hosokawa
Hata,740,1994,1994,JPN,Q315720,direct,Tsutomu Hata
Hashimoto,740,1996,1998,JPN,Q309374,direct,Ryutaro Hashimoto
Mikio Aoki,740,2000,2000,JPN,Q745045,fuzzy,
Yoshiro Mori,740,2000,2001,JPN,Q233499,fuzzy,
Junichiro Koizumi,740,2001,2006,JPN,Q130852,direct,Junichiro Koizumi
Shinzo Abe,740,2006,2007,JPN,Q132345,fuzzy,
Yasuo Fukuda,740,2007,2008,JPN,Q101137,fuzzy,
Taro Aso,740,2008,2009,JPN,Q132596,fuzzy,
Hatoyama Yukio,740,2009,2010,JPN,Q131077,fuzzy,
Naoto Kan,740,2010,2011,JPN,Q47846,fuzzy,
Yoshihiko Noda,740,2011,2012,JPN,Q57647,fuzzy,
Shinzo Abe,740,2012,2015,JPN,Q132345,fuzzy,
Nehru,750,1947,1964,IND,Q1047,direct,Jawaharlal Nehru
Nanda,750,1964,1964,IND,Q317769,direct,Gulzarilal Nanda
Shastri,750,1964,1966,IND,Q244689,direct,Lal Bahadur Shastri
Nanda,750,1966,1966,IND,Q317769,direct,Gulzarilal Nanda
"Gandhi, I.",750,1966,1977,IND,Q1149,direct,Indira Gandhi
Desai,750,1977,1979,IND,Q218661,direct,Morarji Desai
Charan Singh,750,1979,1980,IND,Q319824,fuzzy,
"Gandhi, I.",750,1980,1984,IND,Q1149,direct,Indira Gandhi
"Gandhi, R.",750,1984,1989,IND,Q4593,direct,Rajiv Gandhi
Pratap Singh,750,1989,1990,IND,Q108730328,fuzzy,
Rao,750,1991,1996,IND,Q275146,direct,P. V. Narasimha Rao
Vajpayee,750,1996,1996,IND,Q233289,fuzzy,
Gowda,750,1996,1997,IND,Q377870,direct,H. D. Deve Gowda
Gujral,750,1997,1998,IND,Q248484,direct,Inder Kumar Gujral
Vajpayee,750,1998,2004,IND,Q233289,fuzzy,
Narendra Modi,750,2014,2015,IND,Q1058,fuzzy,
"Wangchuk, Jigme Dorji",760,1952,1972,BHU,Q298020,direct,Jigme Dorji Wangchuck
"Wangchuck, Jigme Singye",760,1972,1998,BHU,Q200273,direct,Jigme Singye Wangchuck
L. Khan,770,1948,1951,PAK,Q295713,direct,Liaquat Ali Khan
Nazimuddin,770,1951,1953,PAK,Q369988,redirect,Khawaja Nazimuddin
Mohammed Ali,770,1953,1955,PAK,Q469875,redirect,Muhammad Ali Bogra
Chaudhri M. Ali,770,1955,1956,PAK,Q284443,redirect,Chaudhry Muhammad Ali
Khan Noon,770,1957,1958,PAK,Q1561693,redirect,Feroz Khan Noon
Ayub Khan,770,1958,1969,PAK,Q190071,direct,Ayub Khan
Yahya Khan,770,1969,1971,PAK,Q333981,direct,Yahya Khan
Bhutto,770,1971,1977,PAK,Q131355,direct,Zulfikar Ali Bhutto
Ishaq Khan,770,1988,1988,PAK,Q314776,direct,Ghulam Ishaq Khan
Benazir Bhutto,770,1988,1990,PAK,Q34413,direct,Benazir Bhutto
Sharif,770,1990,1993,PAK,Q134068,direct,Nawaz Sharif
Sharif,770,1993,1993,PAK,Q134068,direct,Nawaz Sharif
Benazir Bhutto,770,1993,1996,PAK,Q34413,direct,Benazir Bhutto
Khalid,770,1996,1997,PAK,Q982280,direct,Malik Meraj Khalid
Sharif,770,1997,1999,PAK,Q134068,direct,Nawaz Sharif
Musharraf,770,1999,2008,PAK,Q40495,fuzzy,
Soomro,770,2008,2008,PAK,Q317624,fuzzy,
Zardari,770,2008,2013,PAK,Q57373,fuzzy,
Syed Nazrul Islam,771,1971,1972,BNG,Q3346340,fuzzy,
Sheikh Mujib Rahman,771,1972,1975,BNG,Q191375,direct,Sheikh Mujibur Rahman
Ziaur Rahman,771,1975,1981,BNG,Q198313,direct,Ziaur Rahman
Ahmed,771,1990,1991,BNG,Q2665236,redirect,Moeenuddin Ahmad Qureshi
Khaleda Zia,771,1991,1996,BNG,Q234814,fuzzy,
Mohammad Habibur Rahman,771,1996,1996,BNG,Q31734536,redirect,Habibur Rahman
Hasina Wazed,771,1996,2001,BNG,Q52183,fuzzy,
Latifur Rahman,771,2001,2001,BNG,Q2093148,fuzzy,
Khaleda Zia,771,2001,2006,BNG,Q234814,fuzzy,
Iajuddin,771,2006,2007,BNG,Q165672,fuzzy,
Hasina Wazed,771,2009,2015,BNG,Q52183,fuzzy,
U Nu,775,1948,1956,MYA,Q316384,direct,U Nu
U Ba Swe,775,1956,1957,MYA,Q2877627,direct,Ba Swe
U Nu,775,1957,1958,MYA,Q316384,direct,U Nu
Ne Win,775,1958,1960,MYA,Q315522,direct,Ne Win
U Nu,775,1960,1962,MYA,Q316384,direct,U Nu
Ne Win,775,1962,1988,MYA,Q315522,direct,Ne Win
Maung Maung,775,1988,1988,MYA,Q586850,direct,Maung Maung
Than Shwe,775,1992,2011,MYA,Q202553,fuzzy,
Thein Sein,775,2011,2015,MYA,Q12149,fuzzy,
"Senanayake, Don",780,1948,1952,SRI,Q663001,redirect,Don Stephen Senanayake
"Senanayake, Dudley",780,1952,1953,SRI,Q1150570,direct,Dudley Senanayake
Kotelawala,780,1953,1956,SRI,Q4271789,direct,John Kotelawala
Dahanayake,780,1959,1960,SRI,Q982207,direct,Wijeyananda Dahanayake
"Senanayake, Dudley",780,1960,1960,SRI,Q1150570,direct,Dudley Senanayake
"Bandaranaike, S",780,1960,1965,SRI,Q194291,direct,Sirimavo Bandaranaike
"Senanayake, Dudley",780,1965,1970,SRI,Q1150570,direct,Dudley Senanayake
"Bandaranaike, S",780,1970,1977,SRI,Q194291,direct,Sirimavo Bandaranaike
Jayewardene,780,1977,1989,SRI,Q469661,redirect,Junius Richard Jayewardene
Premadasa,780,1989,1993,SRI,Q472323,direct,Ranasinghe Premadasa
Kumaratunga,780,1994,2005,SRI,Q207432,direct,Chandrika Kumaratunga
Rajapakse,780,2005,2015,SRI,Q1538702,fuzzy,
Maithripala Sirisena,780,2015,2015,SRI,Q6737124,fuzzy,
Nasir,781,1957,1978,MAD,Q558802,direct,Ibrahim Nasir
Maumoon Abdul Gayoom,781,1978,2008,MAD,Q297957,direct,Maumoon Abdul Gayoom
Tribhuvan,790,1951,1955,NEP,Q381928,direct,Tribhuvan of Nepal
Mahendra,790,1955,1972,NEP,Q313110,direct,Mahendra of Nepal
Birendra,790,1972,1990,NEP,Q162306,direct,Birendra of Nepal
Girija Prasad Koirala,790,1991,1994,NEP,Q220991,fuzzy,
Sher Bahadur Deuba,790,1995,1997,NEP,Q470903,fuzzy,
Lokendra Bahadur Chand,790,1997,1997,NEP,Q2628548,fuzzy,
Girija Prasad Koirala,790,1998,1999,NEP,Q220991,fuzzy,
Girija Prasad Koirala,790,2000,2001,NEP,Q220991,fuzzy,
Lokendra Bahadur Chand,790,2002,2003,NEP,Q2628548,fuzzy,
Surya Bahadur Thapa,790,2003,2004,NEP,Q983444,fuzzy,
Gyanendra,790,2005,2006,NEP,Q201327,fuzzy,
Girija Prasad Koirala,790,2006,2008,NEP,Q220991,fuzzy,
Prachanda,790,2008,2009,NEP,Q315500,fuzzy,
Madhav Kumar Nepal,790,2009,2011,NEP,Q332509,fuzzy,
Khil Raj Regmi,790,2013,2014,NEP,Q6401600,fuzzy,
Sushil Koirala,790,2014,2015,NEP,Q422969,fuzzy,
Khadga Prasad Sharma Oli,790,2015,2015,NEP,Q3195923,fuzzy,
Thawan Thamrongnawasawat,800,1946,1947,THI,Q1373905,fuzzy,
Plaek Pibulsongkram,800,1947,1957,THI,Q152777,redirect,Plaek Pibulsonggram
Pote Sarasin,800,1957,1957,THI,Q982335,direct,Pote Sarasin
Thanon Kittakachorn,800,1957,1958,THI,Q439990,direct,Thanom Kittikachorn
Sarit,800,1958,1963,THI,Q975621,fuzzy,
Thanon Kittakachorn,800,1963,1973,THI,Q439990,direct,Thanom Kittikachorn
Sanya,800,1973,1975,THI,Q974619,direct,Sanya Dharmasakti
Seni Pramoj,800,1975,1975,THI,Q714042,direct,Seni Pramoj
Kukrot Pramoj,800,1975,1976,THI,Q959588,direct,Kukrit Pramoj
Seni Pramoj,800,1976,1976,THI,Q714042,direct,Seni Pramoj
Thanin Kraivichien,800,1976,1977,THI,Q74861,fuzzy,
Kriangsak,800,1977,1980,THI,Q561177,redirect,Kriangsak Chomanan
Prem,800,1980,1988,THI,Q379827,direct,Prem Tinsulanonda
Choonhavan,800,1988,1991,THI,Q701841,direct,Chatichai Choonhavan
Panyarachun,800,1991,1992,THI,Q485702,direct,Anand Panyarachun
Kraprayoon,800,1992,1992,THI,Q959614,direct,Suchinda Kraprayoon
Panyarachun,800,1992,1992,THI,Q485702,direct,Anand Panyarachun
Leekpai,800,1992,1995,THI,Q464301,fuzzy,
Chavalit Yongchaiyudh,800,1996,1997,THI,Q1068511,direct,Chavalit Yongchaiyudh
Leekpai,800,1997,2001,THI,Q464301,fuzzy,
Thaksin Shinawatra,800,2001,2006,THI,Q164373,fuzzy,
Chulanont,800,2006,2008,THI,Q298079,fuzzy,
Wongsawat,800,2008,2008,THI,Q298088,fuzzy,
Chanweerakul,800,2008,2008,THI,Q529433,fuzzy,
Yingluck Shinawatra,800,2011,2014,THI,Q57670,fuzzy,
Niwattumrong Boonsongpaisan,800,2014,2014,THI,Q16140300,fuzzy,
Prayuth Chan-ocha,800,2014,2015,THI,Q2108126,fuzzy,
Sihanouk,811,1953,1970,CAM,Q160318,direct,Norodom Sihanouk
Lon Nol,811,1970,1975,CAM,Q313400,direct,Lon Nol
Pol Pot,811,1975,1979,CAM,Q39464,direct,Pol Pot
Heng Samrin,811,1979,1985,CAM,Q379197,fuzzy,
Hun Sen,811,1985,1993,CAM,Q57788,direct,Hun Sen
Ranariddh,811,1993,1997,CAM,Q381817,fuzzy,
Hun Sen,811,1997,2015,CAM,Q57788,direct,Hun Sen
Souvanna Phouma,812,1951,1954,LAO,Q469498,direct,Souvanna Phouma
Katay Don Sasorith,812,1954,1956,LAO,Q1736960,fuzzy,
Souvanna Phouma,812,1956,1958,LAO,Q469498,direct,Souvanna Phouma
Somsanith,812,1960,1960,LAO,Q2300705,fuzzy,
Souvanna Phouma,812,1960,1960,LAO,Q469498,direct,Souvanna Phouma
Boun Oum,812,1960,1962,LAO,Q2196351,direct,Boun Oum
Souvanna Phouma,812,1962,1964,LAO,Q469498,direct,Souvanna Phouma
Kouprasith,812,1964,1964,LAO,Q6434680,fuzzy,
Souvanna Phouma,812,1964,1975,LAO,Q469498,direct,Souvanna Phouma
Sayasone,812,2006,2015,LAO,Q57444,fuzzy,
Ho Chi Minh,816,1945,1969,DRV,Q36014,direct,Ho Chi Minh
Le Duan,816,1969,1986,DRV,Q466001,fuzzy,
Truong Chinh,816,1986,1986,DRV,Q545539,fuzzy,
Nguyen Van Linh,816,1986,1991,DRV,Q739795,fuzzy,
Do Muoi,816,1991,1997,DRV,Q342600,fuzzy,
Ngo Dinh Diem,817,1954,1963,RVN,Q192502,direct,Ngo Dinh Diem
Minh,817,1963,1964,RVN,Q434419,fuzzy,
Khanh,817,1964,1964,RVN,Q504362,redirect,Nguyen Khanh
Khahn,817,1965,1965,RVN,Q504362,redirect,Nguyen Khanh
Van Thieu,817,1965,1975,RVN,Q313707,fuzzy,
Minh,817,1975,1975,RVN,Q434419,fuzzy,
Rahman,820,1957,1959,MAL,Q296317,direct,Tunku Abdul Rahman
Razak,820,1959,1959,MAL,Q2821422,redirect,Abdul Razak
Rahman,820,1959,1970,MAL,Q296317,direct,Tunku Abdul Rahman
Razak,820,1970,1976,MAL,Q2821422,redirect,Abdul Razak
Hussein Bin Onn,820,1976,1981,MAL,Q529391,direct,Hussein Onn
Mahatir Bin Mohammad,820,1981,2003,MAL,Q181383,redirect,Mahathir bin Mohamad
Ahmad Badawi,820,2003,2009,MAL,Q272588,direct,Abdullah Ahmad Badawi
Najib Tun Razak,820,2009,2015,MAL,Q57675,fuzzy,
Lee Kuan Yew,830,1959,1990,SIN,Q131248,direct,Lee Kuan Yew
Goh Chok Tong,830,1990,2004,SIN,Q313300,direct,Goh Chok Tong
Lee Hsien Loong,830,2004,2015,SIN,Q57643,fuzzy,
Hassanal Bolkiah,835,1967,2015,BRU,Q57327,direct,Hassanal Bolkiah
Roxas,840,1946,1948,PHI,Q223419,direct,Manuel Roxas
Quirrino,840,1948,1953,PHI,Q319943,direct,Elpidio Quirino
Magsaysay,840,1953,1957,PHI,Q117096,direct,Ramon Magsaysay
Garcia,840,1957,1961,PHI,Q319939,direct,Carlos P. Garcia
Macapagal,840,1961,1965,PHI,Q312539,direct,Diosdado Macapagal
Marcos,840,1965,1986,PHI,Q1463,direct,Ferdinand Marcos
Aquino,840,1986,1992,PHI,Q1480,direct,Corazon Aquino
Estrada,840,1998,2001,PHI,Q212733,direct,Joseph Estrada
Benigno Aquino III,840,2010,2015,PHI,Q1464,fuzzy,
Sukarno,850,1945,1948,INS,Q76127,direct,Sukarno
Louis Beel,850,1948,1949,INS,Q735519,direct,Louis Beel
Sukarno,850,1949,1966,INS,Q76127,direct,Sukarno
Suharto,850,1966,1998,INS,Q44819,fuzzy,
Megawati Sukarnoputri,850,2001,2004,INS,Q76179,fuzzy,
Bambang Yudhoyono,850,2004,2014,INS,Q57405,fuzzy,
Joko Widodo,850,2014,2015,INS,Q3318231,fuzzy,
Forde,900,1945,1945,AUL,Q459146,direct,Frank Forde
Chifley,900,1945,1949,AUL,Q23379,direct,Ben Chifley
Menzies,900,1949,1966,AUL,Q214438,direct,Robert Menzies
Holt,900,1966,1967,AUL,Q312722,direct,Harold Holt
McEwen,900,1967,1968,AUL,Q23386,direct,John McEwen
Gorton,900,1968,1971,AUL,Q356411,direct,John Gorton
McMahon,900,1971,1972,AUL,Q356261,direct,William McMahon
Whitlam,900,1972,1975,AUL,Q23333,direct,Gough Whitlam
Fraser,900,1975,1983,AUL,Q315979,direct,Malcolm Fraser
Hawke,900,1983,1991,AUL,Q269372,direct,Bob Hawke
Howard,900,1996,2007,AUL,Q51330,direct,John Howard
Malcolm Turnbull,900,2015,2015,AUL,Q927550,fuzzy,
Somare,910,1975,1980,PNG,Q316264,direct,Michael Somare
Somare,910,1982,1985,PNG,Q316264,direct,Michael Somare
Namaliu,910,1988,1992,PNG,Q2003366,fuzzy,
Morauta,910,1999,2002,PNG,Q1381425,fuzzy,
Somare,910,2002,2011,PNG,Q316264,direct,Michael Somare
Holland,920,1949,1957,NEW,Q1390488,direct,Sidney Holland
Holyoake,920,1957,1957,NEW,Q637012,direct,Keith Holyoake
Nash,920,1957,1960,NEW,Q721770,direct,Walter Nash
Holyoake,920,1960,1972,NEW,Q637012,direct,Keith Holyoake
Marshall,920,1972,1972,NEW,Q284733,direct,Jack Marshall
Kirk,920,1972,1974,NEW,Q1237120,direct,Norman Kirk
Rowling,920,1974,1975,NEW,Q862430,direct,Bill Rowling
Muldoon,920,1975,1984,NEW,Q737739,direct,Robert Muldoon
Lange,920,1984,1989,NEW,Q367589,direct,David Lange
Moore,920,1990,1990,NEW,Q415745,redirect,Mike Moore
Bolger,920,1990,1997,NEW,Q139785,direct,Jim Bolger
Jenny Shipley,920,1997,1999,NEW,Q235996,fuzzy,
Helen Clark,920,1999,2008,NEW,Q180383,direct,Helen Clark
John Key,920,2008,2015,NEW,Q57783,fuzzy,
Mara,950,1970,1987,FJI,Q469507,direct,Kamisese Mara
Bavadra,950,1987,1987,FJI,Q2097052,fuzzy,
Rabuka,950,1987,1987,FJI,Q981549,direct,Sitiveni Rabuka
Mara,950,1987,1992,FJI,Q469507,direct,Kamisese Mara
Rabuka,950,1992,1999,FJI,Q981549,direct,Sitiveni Rabuka
Ratu Josefa Iloilo,950,2000,2000,FJI,Q316317,fuzzy,
Bainimarama,950,2000,2000,FJI,Q57830,direct,Frank Bainimarama
Laisenia Qarase,950,2000,2006,FJI,Q473214,fuzzy,
Senilagakali,950,2006,2007,FJI,Q1374014,fuzzy,
