leader,ccode,start_year,end_year,idacr,qid,source,wiki_title
Ranieri Mazzilli,140,1964,1964,BRA,Q192361,direct,Pascoal Ranieri Mazzilli
Castello Branco,140,1964,1967,BRA,Q294430,fuzzy,
Geisel,140,1974,1979,BRA,Q294241,direct,Ernesto Geisel
Mello,140,1990,1992,BRA,Q236503,direct,Fernando Collor de Mello
"Franco, Itamar",140,1992,1994,BRA,Q485946,direct,Itamar Franco
Cardoso,140,1995,2003,BRA,Q230578,direct,Fernando Henrique Cardoso
Rousseff,140,2011,2015,BRA,Q40722,fuzzy,
Urriolagoitia,145,1949,1951,BOL,Q3306306,fuzzy,
Siles Salinas,145,1969,1969,BOL,Q886540,direct,Luis Adolfo Siles Salinas
Banzer Suarez,145,1971,1978,BOL,Q269039,fuzzy,
Pereda Asbun,145,1978,1978,BOL,Q2566177,fuzzy,
Natusch Busch,145,1979,1979,BOL,Q886490,fuzzy,
Lidia Gueiler Tejada,145,1979,1980,BOL,Q466098,fuzzy,
Paz Zamora,145,1989,1993,BOL,Q555207,direct,Jaime Paz Zamora
Gonzalo Sanchez de Lozada,145,1993,1997,BOL,Q379645,fuzzy,
Banzer Suarez,145,1997,2001,BOL,Q269039,fuzzy,
Jorge Quiroga Ramirez,145,2001,2002,BOL,Q468805,fuzzy,
Gonzalo Sanchez de Lozada,145,2002,2003,BOL,Q379645,fuzzy,
Carlos Mesa,145,2003,2005,BOL,Q312668,direct,Carlos Mesa
Frutos,150,1948,1948,PAR,Q628530,direct,Juan Manuel Frutos
Molas Lopez,150,1949,1949,PAR,Q888255,fuzzy,
Stroessner,150,1954,1989,PAR,Q152534,direct,Alfredo Stroessner
Rodriguez Pedotti,150,1989,1993,PAR,Q440837,fuzzy,
Gonzalez Macchi,150,1999,2003,PAR,Q438594,fuzzy,
Nicanor Duarte Frutos,150,2003,2008,PAR,Q222652,fuzzy,
Fernando Lugo,150,2008,2012,PAR,Q151879,fuzzy,
Federico Franco,150,2012,2013,PAR,Q57496,fuzzy,
Horacio Cartes,150,2013,2015,PAR,Q5901842,fuzzy,
Alessandri Rodriguez,155,1958,1964,CHL,Q576,direct,Jorge Alessandri
Frei Montalva,155,1964,1970,CHL,Q475,direct,Eduardo Frei Montalva
Allende,155,1970,1973,CHL,Q440,direct,Salvador Allende
Pinochet,155,1973,1990,CHL,Q368,direct,Augusto Pinochet
Aylwin,155,1990,1994,CHL,Q335,direct,Patricio Aylwin
Ricardo Lagos Escobar,155,2000,2006,CHL,Q331,fuzzy,
Michelle Bachelet,155,2006,2010,CHL,Q320,fuzzy,
Sebastian Piñera,155,2010,2014,CHL,Q306,fuzzy,
Michelle Bachelet,155,2014,2015,CHL,Q320,fuzzy,
Lonardi,160,1955,1955,ARG,Q365431,direct,Eduardo Lonardi
Aramburu,160,1955,1958,ARG,Q188974,direct,Pedro Eugenio Aramburu
Frondizi,160,1958,1962,ARG,Q346658,direct,Arturo Frondizi
Arturo Illia,160,1963,1966,ARG,Q270368,direct,Arturo Umberto Illia
Levingston,160,1970,1971,ARG,Q380980,fuzzy,
Lastiri,160,1973,1973,ARG,Q349261,fuzzy,
Viola,160,1981,1981,ARG,Q313996,direct,Roberto Eduardo Viola
Galtieri,160,1981,1982,ARG,Q124993,direct,Leopoldo Galtieri
Bignone,160,1982,1983,ARG,Q298430,direct,Reynaldo Bignone
Menem,160,1989,1999,ARG,Q185107,direct,Carlos Menem
Ramon Puerta,160,2001,2001,ARG,Q357257,fuzzy,
Adolfo Rodriguez Saa,160,2001,2002,ARG,Q312358,fuzzy,
Eduardo Duhalde,160,2002,2003,ARG,Q294578,direct,Eduardo Duhalde
Nestor Kirchner,160,2003,2007,ARG,Q170899,fuzzy,
Fernandez de Kirchner,160,2007,2015,ARG,Q40649,fuzzy,
Mauricio Macri,160,2015,2015,ARG,Q561837,fuzzy,
