qid,leader,ccode,iso3,country,start_year,end_year,theta,theta_se,theta_inst,theta_cult,gwf_regimetype,gwf_personal,gwf_years_matched
Q44329,Bashar al-Assad,652,SYR,Syria,2000,2015,1.0481457084249224,0.537221712035303,-0.3346512455533103,0.8738080981459425,party-personal-military,1.0,11
Q381817,Ranariddh,811,KHM,Cambodia,1993,1997,1.0365940283747217,0.5230269464485273,1.676051935197735,-0.5592775355666063,party-based,0.0,5
Q39464,Pol Pot,811,KHM,Cambodia,1975,1979,1.0216398575511705,0.5083956473590769,1.691989126278287,0.9291769047970542,party-based,0.0,5
Q200273,"Wangchuck, Jigme Singye",760,UNK,COW-760,1972,1998,0.9849392462473328,0.5891646715630389,-0.096031473060926,-0.9990250893533488,,,0
Q298020,"Wangchuk, Jigme Dorji",760,UNK,COW-760,1952,1972,0.9849392462473328,0.5891646715630389,-0.096031473060926,-0.9990250893533488,,,0
Q57394,Nazarbayev,705,KAZ,Kazakhstan,1990,2015,0.984385334605806,0.5567876558739895,-0.2246525776737437,1.4796843095788526,personal,1.0,19
Q2866,Lukashenko,370,BLR,Belarus,1994,2015,0.9604101850521544,0.5203615543771528,0.9518771565441702,0.8494530908127778,personal,1.0,17
Q128245,Mohammad Reza,630,IRN,Iran,1953,1979,0.958092770637962,0.5441886965992845,-0.3253016141309164,0.261814026092676,monarchy,0.0,27
Q312716,Jawara,420,GMB,Gambia,1965,1994,0.9542663132246352,0.529126841020596,1.715805986710342,-0.4709393741870096,party-based,0.0,29
Q30487,Gorbachev,365,RUS,Russia,1985,1991,0.9444779780686606,0.5519358070749872,-0.2195226321431633,1.3146680328294524,party-based,0.0,7
Q57643,Lee Hsien Loong,830,SGP,Singapore,2004,2015,0.9390650120912448,0.5414847128487105,-0.323281025500543,0.7645294446682702,party-based,0.0,7
Q296054,Gottwald,315,CZE,Czechoslovakia,1948,1953,0.9304021562671368,0.5476764684941757,-0.2176344863400106,1.1554451182046106,party-based,0.0,5
Q183187,Fahd,670,SAU,Saudi Arabia,1982,1996,0.917403658227772,0.5373222641718297,0.9477335591653292,-0.121780336553134,monarchy,0.0,15
Q57298,Abdullah ibn Abdilaziz,670,SAU,Saudi Arabia,1996,2015,0.917403658227772,0.5373222641718297,0.9477335591653292,-0.121780336553134,monarchy,0.0,15
Q373628,Ramat Mohammed,475,NGA,Nigeria,1975,1976,0.9105610260235196,0.5457118099432893,-0.2151759677581619,1.036302230256955,military,0.0,2
Q172083,Bongo,481,GAB,Gabon,1967,2009,0.8962570599479073,0.5456096230156969,-0.319154140631741,0.936524240933386,party-personal,1.0,43
Q202006,Obasanjo,475,NGA,Nigeria,1999,2007,0.8869475264637514,0.5628157552647778,-0.3187952053244651,-0.0994914776529447,military-personal,1.0,1
Q469498,Souvanna Phouma,812,LAO,Laos,1964,1975,0.8378272672310003,0.5734542042696004,0.0503743267181459,-0.0359703436315585,,,0
Q299559,Taraki,700,AFG,Afghanistan,1978,1979,0.8346766128146293,0.55211854278303,-0.2066387334960041,1.192274134559124,party-personal,1.0,2
Q16213,Fidel Castro,40,CUB,Cuba,1959,2008,0.8327091486955621,0.5899510262707608,-0.2427701334850705,0.2383047296387201,party-personal,1.0,50
Q313110,Mahendra,790,NPL,Nepal,1955,1972,0.8300604064950219,0.5631548889860879,-0.3133293629762192,0.0964625148541259,monarchy,0.0,18
Q1463,Marcos,840,PHL,Philippines,1965,1986,0.8182117785444211,0.5516739661800595,-0.3118794730208867,1.0884425761381074,personal,1.0,14
Q192502,Ngo Dinh Diem,817,VNM,Vietnam,1954,1963,0.7620380841438921,0.5737929290417085,-0.103470672217431,0.2054454179289106,personal,1.0,9
Q16977,Deng Xiaoping,710,CHN,China,1980,1997,0.7471702882439628,0.5579005571473266,-0.3055760266917718,0.600227541365406,party-based,0.0,18
Q34413,Benazir Bhutto,770,PAK,Pakistan,1993,1996,0.7471702882439628,0.5579005571473266,-0.3055760266917718,0.600227541365406,,,0
Q37040,Salazar,235,PRT,Portugal,1946,1968,0.7420870516947845,0.5990759368218999,-0.231695295372809,1.576251666356553,personal,1.0,23
Q155074,Georgi Dimitrov,355,BGR,Bulgaria,1946,1949,0.7360171333887787,0.5687683378183156,-0.1964657329138871,1.6735413388683231,party-based,0.0,4
Q2628,Ulbricht,265,DEU,Germany,1950,1971,0.7360171333887787,0.5687683378183156,-0.1964657329138871,1.6735413388683231,party-based,0.0,22
Q63831,Amin,700,AFG,Afghanistan,1979,1979,0.7353868000841501,0.5586789454144803,-0.1959956048078469,1.3208867646938802,party-personal,1.0,1
Q319943,Quirrino,840,PHL,Philippines,1948,1953,0.730593378759855,0.5631008064682559,-0.1955876299301678,0.4311271859922811,,,0
Q161184,Meles Zenawi,530,ETH,Ethiopia,1991,2012,0.7181067644847481,0.5558589865060893,-0.1940496851972333,1.0810427574201185,party-based,0.0,20
Q307871,al-Sisi,651,EGY,Egypt,2014,2015,0.7181067644847481,0.5558589865060893,-0.1940496851972333,1.0810427574201185,,,0
Q16597,Jiang Zemin,710,CHN,China,1997,2003,0.7180713253094745,0.5582306328825551,-0.3030618979077075,1.216586498505416,party-based,0.0,7
Q189732,Kravchuk,369,UKR,Ukraine,1990,1994,0.6934891202113445,0.5395773868736546,2.6057904301547783,0.6084059091631429,,,0
Q238745,Menderes,640,TUR,Turkey,1950,1960,0.6896702806171794,0.5738128702608353,-0.3010462346453322,0.2796333377701528,party-based,0.0,4
Q47272,Khrushchev,365,RUS,Russia,1953,1964,0.6861815507406221,0.5903932725372266,-0.2244986135811434,1.297611636513723,party-based,0.0,12
Q209828,Siad Barre,520,SOM,Somalia,1969,1991,0.6647978959364825,0.5392834106127781,1.0774651485718667,1.2813108808758369,personal,1.0,22
Q348144,Rouhani,630,IRN,Iran,2013,2015,0.6455861344957717,0.5766401652374822,-0.1872670466117548,0.3255600431627081,,,0
Q152777,Plaek Pibulsongkram,800,THA,Thailand,1947,1957,0.6306869615267009,0.5700035471840857,-0.1855627417788919,0.5634072031808753,military-personal,1.0,11
